NCT ID,Study Title,Conditions,Inclusion Criteria,Exclusion Criteria,Interventions,Study Type,Overall Status
NCT05987462,The Effect of Green Walking on Myocardial Infarction Patients,"Myocardial Infarction, Quality of Life","* Inclusion criteria were being 18 years of age or older,
* being able to communicate verbally,
* being literate,
* having had MI at least three months ago,
* being followed up as an outpatient with the diagnosis of MI in the cardiology outpatient clinic of X state hospital and Y state hospital,
* achieving the six-minute walk test (6MWT),
* having no obstacle to walking (musculoskeletal problems, joint problems, fracture, neuropathy, chronic severe pain, limb loss)
* volunteering to participate in the study.","* having blood pressure above 140/90 mmHg or below 90/60 mmHg,
* having active chest pain, dyspnea, bradycardia, or tachycardia, a psychiatric diagnosis, visual, hearing,
* cognitive impairment,
* a balance problem,
* using a walker while walking,
* having Parkinson's disease, dementia, or cancer,
* having undergone any surgery that would prevent walking,
* refusing to participate in the study.",Green walking,INTERVENTIONAL,COMPLETED
NCT02108262,A Phase 2b Study of CSL112 in Subjects With Acute Myocardial Infarction.,Acute Myocardial Infarction,"* Men or women, at least 18 years of age, with evidence of myocardial necrosis in a clinical setting consistent with a type I (spontaneous) acute myocardial infarction (AMI), in the last week.","* Ongoing hemodynamic instability
* Evidence of hepatobiliary disease
* Evidence of chronic kidney disease (CKD) (Stage III, IV, or V), defined as moderate or severe renal impairment or if subject is receiving dialysis
* Evidence of unstable renal function
* History of acute kidney injury after previous exposure to an intravenous contrast agent.
* Known history of allergies, hypersensitivity or deficiencies to CSL112 or any of its components
* Other severe comorbid condition, concurrent medication, or other issue that renders the subject unsuitable for participation in the study","CSL112, Placebo",INTERVENTIONAL,COMPLETED
NCT00148460,"Trial to Compare the Efficacy and Safety of a Single Bolus of TNK-tPA (Tenecteplase, Metalyse®) With Accelerated Infusion of Rt-PA (Alteplase, Actilyse®) in Asian Patients With Acute Myocardial Infarction",Myocardial Infarction,"1. Age \>= 18 and \<= 75 years.
2. Asian origin.
3. Ischemic discomfort \>= 30 minutes in duration.
4. Onset of acute myocardial infarction (AMI) symptoms within 6 hours prior to randomization.
5. A twelve lead electrocardiogram (ECG) with one of the following:

   * ST segment elevation \>= 0.1 mV in two or more limb leads; or
   * \>= 0.2 mV in two or more contiguous precordial leads indicative of AMI.
6. Ability to give informed consent.","1. Previous coronary artery bypass grafting (CABG) surgery.
2. Cardiogenic shock (e.g. systolic blood pressure \[SBP\] \< 90 mmHg).
3. Systolic blood pressure (SBP) \>= 180 mmHg and/or diastolic blood pressure (DBP) \>= 110 mmHg during current admission on one reliable measurement prior to randomization.
4. Inability to undergo cardiac catheterization.
5. Significant bleeding disorder either at present or within the past 6 months.
6. Major surgery, biopsy of a parenchymal organ, or significant trauma within 3 months.
7. Any minor head trauma and/or any other trauma that occurred after onset of current myocardial infarction.
8. Use of heparin, GPIIb/IIIa antagonists or other anticoagulants within the last 2 weeks.
9. Any known history of stroke or transient ischemic attack or central nervous system structural damage (i.e. neoplasm, aneurysm, intracranial surgery).
10. Prolonged cardiopulmonary resuscitation (\> 10 minutes) within 2 weeks.
11. Pregnancy, lactation or parturition within the previous 30 days. Women of childbearing potential must have had a negative pregnancy test and must have used a medically accepted method of birth control (i.e. uterine device, surgical sterilisation, progestogens alone).
12. Previous treatment with TNK-tPA (tenecteplase).
13. Inability to follow protocol and comply with follow-up.
14. Drug abuse within the last year.
15. Participation in another clinical trial within the previous 30 days.","TNK-tPA, rt-PA",INTERVENTIONAL,COMPLETED
NCT01379248,Effect of Thrombus Aspiration in Patients With Myocardial Infarction Presenting Late After Symptom Onset,Myocardial Infarction,"* ST-elevation myocardial infarction \>12 and \<48 hours after symptom onset
* age 18 to 90 years
* informed consent","* prior fibrinolysis
* severe comorbidities with limited life expectancy
* pregnancy
* patient unable to give informed consent
* participation in another trial
* contraindications for heparin, aspirin or thienopyridines
* contraindications for cardiac magnetic resonance examination","manual thrombus aspiration (Export catheter, Medtronic Inc. Minneapolis, Minnesota, USA)",INTERVENTIONAL,COMPLETED
NCT02666326,Accelerated Rule Out of Myocardial Infarction,Myocardial Infarction,"* Patients which, after telemedical triage, are admitted to a cardiac department in suspicions of myocardial infarction
* A peripheral venous catheter has been inserted prehospitally and blood has drawn from it, before flushing it.","* Age below 18 years
* Patients in which an informed concent can not be obtained (psychiatric disease, dementia, under influence of drugs etc.),
* Suspected STEMI and referral to Primary percutaneous coronary intervention (PPCI), referral to a highly specialized cardiac department for another cardiac reason (e.g ventricular tachycardia, ventricular fibrillation, 3° Atrio-ventricular block.)
* Known central Diabetes insipidus
* Other diagnosis as obvious reason for symptoms at time of admittance (e.g. a new diagnosis of supraventricular tachycardia, pulmonary embolism, aortic dissection) AND no suspicions of ACS","Accelerated, combined biomarker rule-out strategy for MI",INTERVENTIONAL,COMPLETED
NCT02239757,Left vs Right Radial Approach in the Setting of Primary Percutaneous Coronary Intervention for ST-elevation Myocardial Infarction,"Transradial Approach, Primary PCI, ST-segment Elevation Myocardial Infarction",All consecutive patients with ST-segment elevation myocardial infarction within 12 hours of symptom onset for primary PCI.,Patients are excluded if they were in cardiogenic shock.,"Left radial approach, Right radial approach",INTERVENTIONAL,COMPLETED
NCT02958657,Effect of Exercise on Platelet Reactivity After Myocardial Infarction,"Platelet Aggregation, Acute Myocardial Infarction, Exercise Training",* Hospitalization for spontaneous STEMI or non-STEMI in patients older than 18 years.,"* Any condition that contraindicate physical activity;
* Regular exercise training practitioners prior to the ischemic event;
* Planned revascularization in the following 4 months;
* Hospitalization for cardiovascular events in the previous 12 months;
* Ventricular dysfunction, defined as left ventricular ejection fraction (LVEF) \<45% on echocardiography, evaluated by Simpson's method);f) Killip class III and IV;
* High risk of arrhythmia and/or second and third degree atrioventricular block;
* Diabetes mellitus requiring intravenous insulin therapy during hospitalization;
* Important chronic kidney disease, defined by creatinine clearance\<30ml/min/m2 (estimated by MDRD formula);
* Oral anticoagulation;
* Use of NSAIDs and/or dipyridamole;
* Contraindication to dual antiplatelet therapy;
* Serum hemoglobin level \<10 g/dL;
* Use of glycoprotein IIB/IIIA inhibitors in the last 48 hours;
* Terminal illness;
* Liver disease or coagulopathy;
* Refusal to engage in an exercise training program.",Exercise Training,INTERVENTIONAL,COMPLETED
NCT00154466,Study on the Efficacy and Mechanism of Cardiac Rehabilitation for Stem Cell Mobilization and Heart Failure Improvement,Myocardial Infarction,"myocardial infarction with CK more than 3000, status post revascularization therapy, clinical stable with regular follow-up at OPD, NYHA II-III -","sustained ventricular arrhythmia, hypertrophy cardiomyopathy, intolerance to exercise program

-",cardiac rehabilitation,INTERVENTIONAL,COMPLETED
NCT01336348,Facilitation Through Aggrastat By drOpping or Shortening Infusion Line in Patients With ST-segment Elevation Myocardial Infarction Compared to or on Top of PRasugrel Loading dOse,ST Segment Elevation Myocardial Infarction,"* Chest pain for \>30 min with an electrocardiographic ST-segment elevation more than 1 mm in two or more contiguous electrocardiogram (ECG) leads, or with a new left bundle-branch block, and admission either within 12 h of symptom onset or between 12 and 24 h after onset with evidence of continuing ischemia","* Administration of fibrinolytic or any GP IIbIIIa inhibitors for the treatment of current AMI or within 1 month before history of bleeding diathesis
* Known sensitivity to abciximab, to any component of the product or to murine monoclonal antibodies
* Major surgery or trauma within 30 days
* Active bleeding
* Previous stroke in the last six months
* Oral anticoagulant therapy
* Pre-existing thrombocytopenia
* Vasculitis
* Hypertensive retinopathy
* Severe hepatic failure
* Severe renal failure requiring haemodialysis
* Documented allergy/intolerance or contraindication to clopidogrel or inability to assume clopidogrel on a consecutive daily basis for a minimum of 30 days, or to heparin or aspirin
* Uncontrolled hypertension (systolic or diastolic arterial pressure \>180 mmHg or 120, respectively, despite medical therapy)
* Limited life expectancy, e.g. neoplasms, others
* Inability to obtain informed consent","Prasugrel, Tirofiban",INTERVENTIONAL,COMPLETED
NCT01050348,To Investigate the Role of Upstream High Dose Statin in STEMI,Acute Myocardial Infarction,"1. Any patient of 25 to 90 years of age admitted or transferred to Western Pennsylvania Hospital or Allegheny General Hospital with a diagnosis of STEMI undergoing emergent percutaneous intervention (PCI) to the culprit coronary artery. STEMI is defined as greater than 1mm ST segment elevation on electrocardiogram.
2. Elevated cardiac biomarkers (troponin-T \> 0.03ng/ml, CKMB\>5ng/mL, or ck\>170 U/l).","1. Known history of liver disease defined as cirrhosis, alcoholic liver disease, Non alcoholic steatohepatitis, hepatitis or any causes of liver failure.
2. Renal failure with creatinine \>3mg/dL
3. Known history of liver or muscle disease such as rheumatologic myopathies, history of myositis, hepatitis, and hepatic cancer.
4. Cardiovascular arrest and shock.","Atorvastatin calcium, Inactive Placebo",INTERVENTIONAL,COMPLETED
NCT00469248,Aortic Balloon Counterpulastion in Myocardial Infarction Related Shock,"Myocardial Infarction, Cardiogenic Shock","* Acute myocardial infarction
* Cardiogenic shock","* Absent peripheral pulses
* Mechanical complications of myocardial infarction",Intra-aortic balloon pump counterpulsation,INTERVENTIONAL,COMPLETED
NCT02406248,Brilinta Taiwan Post Approval Safety Study,Non ST-elevation Myocardial Infarction,"1. Provision of informed consent prior to any study specific procedures
2. Female or male aged at least 20 years
3. Patient who is considered as ethnic Taiwanese
4. Index event of non-ST elevation myocardial infarction","1. Contraindication or other reason that ticagrelor should not be administered
2. Index event is an acute complication of Percutaneous coronary intervention (PCI)
3. Patient has planned for an urgent coronary artery bypass graft (CABG) within 7 days from the enrolment
4. Oral anticoagulation therapy within 30 days prior to enrolment or cannot be stopped
5. Fibrinolytic therapy in the 24 hours prior to enrolment, or planned fibrinolytic treatment following enrolment","Ticagrelor 180mg loading dose taken orally, followed by 90mg twice daily (bd)",INTERVENTIONAL,COMPLETED
NCT03234348,MAGnesium-based Bioresorbable Scaffold in ST Segment Elevation Myocardial Infarction,"Acute Coronary Syndrome, ST Segment Elevation Myocardial Infarction, Stent","Clinical:

1. At least 18 years of age.
2. ST-segment elevation Myocardial Infarction documented in an ambulance or in a Cathlab, with ≥2 mm ST segment elevation in at least two contiguous leads, presenting in the Cathlab \<12 hours after the onset of symptoms lasting ≥20 min requiring primary PCI.
3. Target lesion must be a de-novo lesion located in a native vessel.
4. The patient accepts Informed Consent
5. The patient understands and accepts clinical follow-up and angiographic control.

   Angiographic:
6. Vessel size should match available M-BRS scaffold sizes (≥2.75 mm, and ≤3.7 mm by visual assessment).
7. Lesion preparation by either manual thrombectomy or pre-dilatation has been successful, with opening of the vessel and TIMI ≥2 and residual stenosis \<20%.","1. Pregnancy.
2. Known intolerance to aspirin, heparin, stainless steel, sirolimus, and contrast material.
3. Distal vessel occlusion after recanalization
4. STEMI due to stent/scaffold thrombosis
5. Severe tortuous, calcified or angulated coronary anatomy of the study vessel that in the opinion of the investigator would result in sub-optimal m-BRS placement.
6. Fibrinolysis prior to PCI
7. Known thrombocytopenia (PLT\< 100,000/mm3)
8. Active bleeding or coagulopathy or patients at chronic anticoagulation therapy
9. Cardiogenic Shock
10. Significant comorbidities precluding clinical/angiographic FU (as judged by investigators)
11. Major planned surgery that requires discontinuation of dual antiplatelet therapy.
12. Diffuse coronary artery disease that will require CABG
13. Chronic kidney disease with GFR\<30 ml/min",Percutaneous coronary intervention,INTERVENTIONAL,COMPLETED
NCT03048825,Colchicine and Spironolactone in Patients with MI / SYNERGY Stent Registry,"ST Elevation Myocardial Infarction, Non ST Elevation Myocardial Infarction","1. a) Patients with STEMI referred for PCI within 12 hours of symptom onset, have a culprit lesion amenable to stenting, and with planned SYNERGY stent implantation for SYNERGY registry

   OR

   b) Patients with STEMI referred for PCI within 48 hours of symptom onset, not prospectively enrolled in SYNERGY stent registry

   OR

   c) Patients with diagnosis of Non STEMI with ischemic symptoms and either Hs Troponin \> or = 300x ULN or Troponin \> or = 200x ULN who have undergone PCI with one of the following:

   i. LVEF\< or =45% ii. Diabetes iii. Multivessel CAD defined as 50% stenosis in 2nd major epicardial vessel iv. Prior MI v. Age \>60 years
2. Able to be enrolled/randomized within 72 hours of index PCI (however patients should be randomized as soon as possible after PCI)
3. Written informed consent","1. Age ≤18 years
2. Pregnancy, breastfeeding, or women of childbearing potential who are not using an effective method of contraception
3. Any medical, geographic, or social factor making study participation impractical or precluding required follow-up
4. Systolic blood pressure \<90 mm Hg
5. Active diarrhea
6. Known allergy or contraindication to everolimus, the SYNERGY stent or any of its components
7. Unable to receive dual antiplatelet therapy
8. Any contraindication or known intolerance to colchicine or spironolactone
9. Requirement for colchicine or mineralocorticoid antagonist for another indication
10. History of cirrhosis or current severe hepatic disease
11. Current or planned use of any of: cyclosporine, verapamil, HIV protease inhibitors, azole antifungals, or macrolide antibiotics
12. Creatinine clearance \<30 mL/min/1.73 m2
13. Serum Potassium \>5.0 meq/L","Colchicine, Spironolactone, SYNERGY Bioabsorbable Polymer Drug-Eluting Stent, Colchicine-Placebo, Spironolactone-Placebo",INTERVENTIONAL,COMPLETED
NCT03611725,Comparison of Success Rate Between Distal Radial Approach and Radial Approach in STEMI,"Distal Radial Artery Approach, ST Elevation Myocardial Infarction","* Age ≥ 20 years
* ST-segment elevation myocardial infarction
* Palpable unilateral distal radial and radial artery","* Cardiogenic shock
* Thrombolysis before primary percutaneous coronary intervention
* Inability to obtain written informed consent
* Patient with ipsilateral arteriovenous fistula
* Participation in another ongoing clinical trial
* Pregnancy
* Expected lifespan \<12 months

  \* Eligible operator criteria
* Qualified operator who had experienced ≥ 100 cases of distal radial artery puncture","Distal radial artery, Radial artery",INTERVENTIONAL,COMPLETED
NCT01109225,Relation Between Aldosterone and Cardiac Remodeling After Myocardial Infarction,Myocardial Infarction,"* Man or woman hospitalized for a first myocardial infarction with known shift of the segment ST revascularized in acute phase by primary angioplasty and dated less than 4 days
* Patient presenting a stable clinical state
* Patient presenting a regular sinusal cardiac rhythm
* Patient having an age ≥ 18 years","* Counter-indication with examination MRI
* Severe claustrophobia
* Antecedent of over-sensitiveness to gadolinium salts
* Nonischaemic Cardiopathy
* Cardiac surgery planed in the 6 months
* Women into old to procreate without effective contraception","blood sample, MRI, echocardiography, urine sample, pulmonary echography, vascular check, renal echography",INTERVENTIONAL,COMPLETED
NCT00677222,Safety Study of AMI MultiStem® to Treat Heart Attacks,Acute Myocardial Infarction,"* Patients of either sex 18-85 years of age
* Women of childbearing potential or less than 2 years postmenopausal agree to use of adequate contraception during the study
* Patients with the first time diagnosis of ST elevation myocardial infarction
* Acute myocardial infarction (ST elevation in at least two leads \>0.2 mV in V1, V2 or V3 or \>0.1 mV in other leads), treated by one of the following: either
* Acute PCI with stent implantation
* With thrombolysis within 12 hr of symptom onset followed by PCI with stent implantation within 24 hr after Thrombolysis
* Maximal creatine kinase elevation \>400 U/l with significant membrane-bound fraction (\>6%)or troponin \>2X ULN
* Decreasing levels of CK/CK-MB or troponin following reperfusion
* Successful acute PCI/stent implantation (residual stenosis visually \<30% and TIMI flow \>2). Absence of severe disorder of the microcirculation (e.g. pulsatile flow pattern, systolic flow reversal) at the time of administration of the trial therapy
* Significant regional wall motion abnormality in left ventricular angiogram or transthoracic echocardiogram ≤48 hours post PCI
* LVEF between 30 and 45% by LV gram after the primary PCI or transthoracic echocardiogram ≤48 hours post PCI
* Willing and able to comply with the scheduled visits, treatment, laboratory tests and other study related procedures.
* Signed informed consent","* Prior cardiovascular history
* Mechanical complications of the index acute myocardial infarction including but not limited to rupture of the mitral valve with resultant development of mitral regurgitation, rupture of the left ventricular free wall and rupture of the interventricular septum
* Pregnant or lactating
* Known allergy to contrast agents
* Known allergy or religious objections to bovine or porcine products
* History of malignancy of any type except non-melanoma skin cancer
* Presence of major hematological conditions or laboratory abnormalities (low hemoglobin (\<10 gm/dl), - WBC (\<3,000 cells/mm2) or platelet count (\<100,000 cells/mm3))
* Prothrombin time (PT) \> 1x ULN
* Partial thromboplastin time (PTT) \> 1x ULN
* Presence of chronic systemic inflammatory disorders that requires ongoing therapy
* Previous autologous, allogeneic bone marrow or peripheral stem cell transplant
* Prior solid organ transplantation
* Immune system compromise including but not limited to history of human immunodeficiency virus (HIV), hepatitis B (HBV) and hepatitis C (HCV) infection.
* Prior participation in any other study involving investigational pharmacological agents(s), devices or marketed products within 30 days prior to planned AMI MultiStem® administration
* Life expectancy of six months or less
* Current alcohol or substance abuse
* Ongoing systemic infection
* Renal function: Serum creatinine \>2 mg/dL or creatinine clearance ≤50 mL/min
* Hepatic function: Screening ALT and AST ≥3x upper limit of normal for the laboratory or total bilirubin ≥2.0 mg/dL (exception: acceptable if patient is identified with pre existing condition e.g. Gilbert's disease that will contribute to baseline elevations of bilirubin)
* Other serious medical or psychiatric illness that, in the investigator's opinion, would not permit the patient to be managed according to the protocol.",AMI MultiStem®,INTERVENTIONAL,COMPLETED
NCT00232830,The Study to Assess AMI Treated With Balloon Angioplasty.,Coronary Artery Disease,"1. Have prolonged, continuous (lasting at least 20 minutes) chest pain despite administration of nitrates and onset within 12 hours of randomization, and one of the following:

   1. ST segment elevation \>=1mm in standard leads and \>=2mm in 2 or more contiguous precordial leads with reciprocal ST depression
   2. New or presumably new left bundle branch block (LBBB)
2. The culprit lesion must be identified on a de novo native coronary artery and an emergency angioplasty must be possible. The culprit site must be visualized before the stent implantation;","1. Killip class \> 2 upon arrival to the cath-lab;
2. Significant (\>50%) stenosis proximal or distal to the target lesion that might require revascularization or impede inflow or runoff;
3. Evidence of massive thrombus in the infarct related artery distally to the culprit lesion;
4. Documented left ventricular ejection fraction \<=30%;
5. Target lesion is located in an arterial or venous by-pass graft;
6. ECG documented evidence of prior myocardial infarction;
7. Patient who received thrombolytic therapy for the current AMI before enrollment in this study.","drug-eluting stent, bare-metal stent",INTERVENTIONAL,COMPLETED
NCT04347525,The Effect of Culturally Adapted CBT-based Guided Self Help in Depressed Patients With Myocardial Infarction,"Myocardial Infarction, Depression","* Diagnosis of Myocardial Infarction
* Score 8 or more on HADS
* Fulfilling criteria of Major Depressive Disorder using DSM-V","* Participants with use of alcohol or drugs
* Significant cognitive impairment (intellectual disability or dementia)
* Active psychosis
* Participants who have received CBT during the previous 12 months",CaCBT based guided self help using Khushi aur Khatoon Manual,INTERVENTIONAL,COMPLETED
NCT00729430,Effect of High Dose Fish Oil Supplementation After Recent Heart Attack Using Magnetic Resonance Imaging,"Myocardial Infarction, Death, Sudden, Cardiac","* Experienced a heart attack in the 2 to 4 weeks before study entry
* Lives in the greater Boston area or adjacent regions (within a 50-mile radius of Boston)","* Unable to undergo an MRI because of metallic implants (e.g., pacemakers, an implantable cardioverter defibrillator \[AICD\]) at time of study entry
* Active cancer or any other terminal illness with an expected survival rate of less than 6 months after study entry
* Significant kidney dysfunction with a glomerular filtration rate (GFR) of less than 60 mL/min in the 2 weeks before study entry
* Inability to follow study procedures
* Pregnant
* Hemodynamic instability
* Urgent clinical need for a pacemaker or AICD
* Inaccessibility of medical records","Omega-3 Fatty Acids (Fish Oil Supplements), Placebo",INTERVENTIONAL,COMPLETED
NCT04270630,"A Pilot Proof of Concept, Randomized Controlled, Single-Center Study of a Decision Aid Tool for Older Patients Considering LHC as Treatment for NSTEMI",NSTEMI,"* Must be admitted to the hospital, and there must be clinical suspicion for type I NSTEMI
* Must be eligible for non-urgent revascularization
* Must have capacity to consent for the study based on the judgment of the study investigators
* Must speak English","* Does not meet all of the inclusion criteria listed above
* Has significant vision or hearing impairment that prohibits use of the decision aid
* Unable to read
* Has a clinical diagnosis of dementia and/or severe cognitive impairment documented in the electronic medical record",Shared Decision Aid,INTERVENTIONAL,COMPLETED
NCT00212030,Japan-Working Groups of Acute Myocardial Infarction for the Reduction of Necrotic Damage by a K-ATP,Acute Myocardial Infarction,"1. Age 20-79 years
2. Chest pain of more than 30 min
3. 0.1 mV ST-segment elevation in 2 contiguous ECG leads
4. Admission to hospital within 12 h of symptom onset
5. First episode of AMI
6. Candidates for PCI","1. History of old myocardial infarction
2. Left main coronary artery stenosis
3. Severe liver and/or kidney dysfunction
4. Suspected aortic dissection
5. History of coronary artery bypass graft
6. History of allergic response to drugs
7. Severe hypovolemia
8. Right ventricular infarction","nicorandil, placebo",INTERVENTIONAL,COMPLETED
NCT03728127,Brazilian Cardioprotective Diet and Nuts in Post-acute Myocardial Infarction,"Coronary Artery Disease, Myocardial Infarction",Patients ≥ 40 years with previous AMI (60 to 180 days).,"* Clinical indication of myocardial revascularization surgery (graf /bypass);
* HIV positive in treatment/AIDS;
* Chronic inflammatory diseases;
* Cancer;
* Chemical dependency/alcoholism;
* Chronic use of anti-inflammatories, anticonvulsants and immunosuppressive drugs;
* Pregnancy or lactation;
* Wheelchair users without conditions of anthropometric evaluation;
* Extreme obesity (BMI ≥40kg / m²);
* Use of dietary supplements;
* Rejection/allergy to oilseed consumption;
* Participation in other randomized studies at the time of enrollment.","Brazilian cardioprotective diet, Brazilian cardioprotective diet plus 30g/day of mixed nuts",INTERVENTIONAL,COMPLETED
NCT01160627,Prevention of Contrast-induced Nephropathy in Patients With Acute Myocardial Infarction,Contrast Induced Nephropathy,* STEMI patients treated with primary PCI,* Cardiogenic shock,"Hydration, Acetylcysteine, Sodium bicarbonate, Combined Acetylcystein and Sodium Bicarbonate",INTERVENTIONAL,COMPLETED
NCT01000727,The Stabilization Of pLaques usIng Darapladib-Thrombolysis In Myocardial Infarction 52 Trial,Acute Coronary Syndrome,"* Signed written informed consent.
* Men or women at least 18 years old (in Taiwan, at least 20 years old). Women must be post-menopausal or using a highly effective method for avoidance of pregnancy.
* Hospitalization for acute coronary syndrome (ACS) within 30 days prior to study entry.
* Clinically stable for 24 hours prior to study entry.
* A planned percutaneous coronary intervention (PCI) should be performed prior to study entry, whenever possible.
* At least one of the following:
* At least 60 years old.
* Myocardial infarction prior to the qualifying ACS event.
* Diabetes mellitus requiring treatment with medication.
* Diagnosed mild or moderate reduction in kidney function.
* Cerebrovascular disease (carotid artery disease or ischemic stroke more than 3 months prior to study entry) OR peripheral artery disease.","* ACS symptoms or lab results not believed to be caused by a narrowing or blocked coronary artery.
* No major coronary artery with a blockage of more than 50% (unless all stenoses are successfully treated by PCI).
* Planned coronary artery bypass graft (CABG) surgery, or CABG surgery performed after the qualifying ACS event and prior to study entry.
* Certain types of liver disease.
* Severe reduction in kidney function OR removal of a kidney OR kidney transplant.
* Severe heart failure.
* Blood pressure higher than normal despite lifestyle changes and treatment with medications.
* Any life-threatening disease with a life expectancy of less than 2 years (other than heart disease) that may prevent the subject from completing the study.
* Severe asthma that is poorly controlled with medication.
* Pregnancy (Note: A pregnancy test will be performed on all non-sterile women prior to study entry).
* Previous severe allergic reaction to food, medications, drink, insect stings, etc.
* Drug or alcohol abuse within the past 6 months. Mental/psychological impairment that may prevent the subject from complying with study procedures or understanding the goal and potential risks of participating in the study.
* Certain medications that may interfere with the study medication (these will be identified by the study doctor).
* If both birth parents are at least 50% Japanese, Chinese, or Korean ancestry, must have a blood sample collected for Lp-PLA2 activity. Those with Lp-PLA2 activity less than or equal to 20.0 nmol/min/mL are excluded.
* Previously took darapladib (SB-480848).
* Participation in a study of an investigational medication within the past 30 days.
* Current participation in a study of an investigational device.
* Any other reason the investigator deems the subject should not participate in the study.","Darapladib 160 mg, Placebo, Standard Therapy",INTERVENTIONAL,COMPLETED
NCT02924727,Prospective ARNI vs ACE Inhibitor Trial to DetermIne Superiority in Reducing Heart Failure Events After MI,Acute Myocardial Infarction,"1. Male or female patients ≥ 18 years of age.
2. Diagnosis of spontaneous AMI based on the universal MI definition\* with randomization to occur between 12 hours and 7 days after index event presentation. (\*patients with spontaneous MI event determined to be secondary to another medical condition such as anemia, hypotension, or arrhythmia OR thought to be caused by coronary vasospasm with document normal coronary arteries are not eligible; patients with clinical presentation thought to be related to Takotsubo cardiomyopathy are also not eligible)
3. Evidence of LV systolic dysfunction and/or pulmonary congestion requiring intravenous treatment associated with the index MI event defined as:

   * LVEF ≤40% after index MI presentation and prior to randomization and/or
   * Pulmonary congestion requiring intravenous treatment with diuretics, vasodilators, vasopressors and/or inotropes, during the index hospitalization
4. At least one of the following 8 risk factors:

   * Age ≥ 70 years
   * eGFR \<60 mL/min/1.73 m\^2 based on MDRD formula at screening visit
   * Type I or II diabetes mellitus
   * Documented history of prior MI
   * Atrial fibrillation as noted by ECG, associated with index MI
   * LVEF \<30% associated with index MI
   * Worst Killip class III or IV associated with index MI requiring intravenous treatment
   * STEMI without reperfusion therapy within the first 24 hours after presentation
5. Hemodynamically stable defined as:

   * SBP ≥ 100 mmHg at randomization for patients who received ACEi/ARB during the last 24 hours prior to randomization
   * SBP ≥ 110 mmHg at randomization for patients who did not receive ACEi/ARB during the last 24 hours prior to randomization
   * No IV treatment with diuretics, vasodilators, vasopressors and/or inotropes during the 24 hours prior to randomization

Key","1. Known history of chronic HF prior to randomization
2. Cardiogenic shock within the last 24 hours prior to randomization
3. Persistent clinical HF at the time of randomization
4. Coronary artery bypass graft (CABG) performed or planned for index MI
5. Clinically significant right ventricular MI as index MI
6. Symptomatic hypotension at screening or randomization
7. Patients with a known history of angioedema
8. Stroke or transient ischemic attack within one month prior to randomization
9. Known or suspected bilateral renal artery stenosis
10. Clinically significant obstructive cardiomyopathy
11. Open-heart surgery performed within one month prior to randomization or planned cardiac surgery w/in the 3 months prior to randomization
12. eGFR \< 30 ml/min/1.73 m\^2 as measured by MDRD at screening
13. Serum potassium \> 5.2 mmol /L (or equivalent plasma potassium value) at randomization
14. Known hepatic impairment (as evidenced by total bilirubin \> 3.0 mg/dL or increased ammonia levels, if performed), or history of cirrhosis with evidence of portal hypertension such as esophageal varices
15. Previous use of LCZ696
16. History of malignancy of any organ system (other than localized basal cell carcinoma of the skin) within the past 3 years with a life expectancy of less than 1year.
17. History of hypersensitivity to the study drugs or drugs of similar chemical classes or known intolerance or contraindications to study drugs or drugs of similar chemical classes including ACE inhibitors, ARB or NEP inhibitors
18. Pregnant or nursing women or women of child-bearing potential unless they are using highly effective methods of contraception","LCZ696 (sacubitril/valsartan), Ramipril, Placebo of LCZ696, Placebo of ramipril, Valsartan, Placebo of valsartan",INTERVENTIONAL,COMPLETED
NCT00324766,Levosimendan in Acute Heart Failure Following Acute Myocardial Infarction.,"Myocardial Infarction, Heart Failure, Cardiogenic Shock","* Acute ST-elevation myocardial infarction subject to acute PCI or non-ST elevation myocardial infarction subject to PCI within 72 hours after start of chest pain and:
* Revascularization by PCI,
* Signs of decreased wall-motion in at least 3 of 16 segments of the left ventricle
* Dyspnoea at rest and one of the following:

pulmonary edema, pulmonary congestion,need for CPAP or ventilator, need for IC diuretics or oliguria.

Subgroup of patients in cardiogenic shock: Systolic BP below 90 after 1 hour of volume therapy.","* Age below 20 years
* Heart rate above 120 bpm
* Septic shock
* ARDS
* Creatinine \>450 micromol/l
* Hepatic impairment
* Significant mechanical outlet obstruction
* Allergy against study drug medication
* Anaemia (Hb \<8 g/dl)
* Pregnancy","levosimendan, placebo,",INTERVENTIONAL,COMPLETED
NCT00769366,"Randomized, Controlled Study on Short-term Psychotherapy After Acute Myocardial Infarction",Acute Myocardial Infarction,"* Patients admitted to San Filippo Neri Hospital for AMI and treated with primary or urgent PCI.
* Primary PTCA is performed up to 12 hours after the beginning of chest pain in cases of STEMI, while patients with NSTEMI are enrolled if urgent PTCA is being performed within 48 hours of the onset of chest pain.
* Only patients in whom complete revascularization is achieved are being enrolled in the study.","* Patients with psychiatric disorders or disability, cognitive impairment, or other life-threatening conditions are being excluded from the study.","Psychotherapy, Medical therapy",INTERVENTIONAL,COMPLETED
